Skill,Count
data analysis,11
data science,10
computer science,9
machine learning,9
sql,8
manager technology,6
research,5
python,5
coding,4
analytical,4
data analyst,4
debugging,4
continuous improvement,3
networking,3
programming,3
data analytics,3
data visualization,3
data mining,3
big data,2
data,2
statistics,2
open source,2
product engineering,2
cloud computing,2
analytical skills,2
analytics,2
production,2
forecasting,2
gcp,2
presales,2
usage,2
artificial intelligence,2
python data,1
image processing,1
google analytics,1
business objects,1
machine,1
roc,1
neural networks,1
deep learning,1
data collection,1
analysis,1
automation,1
account management,1
sales process,1
time management,1
mining,1
data processing,1
web development,1
logistic regression,1
text mining,1
warehouse management,1
order management,1
managed services,1
business strategy,1
rfp,1
pdf,1
statistical analysis,1
sas,1
clinical trials,1
packaging,1
performance tuning,1
system architecture,1
backend,1
data structures,1
